,Date,Open_P,High_P,Low_P,Close_P,Adj_Close,Volume,pct
2289,2011-02-22,1518.77,1519.14,1510.18,1513.63,1513.63,139678400.0,0.0016676482850357388
2290,2011-02-21,1519.13,1527.09,1505.54,1525.85,1525.85,133596000.0,0.008073307215105352
2291,2011-02-18,1508.99,1521.15,1508.53,1517.56,1517.56,134814000.0,-0.005433037323459011
2292,2011-02-17,1508.53,1512.85,1506.4,1508.56,1508.56,120484000.0,-0.0059305727615383
2293,2011-02-16,1496.51,1506.31,1495.43,1506.3,1506.3,145680400.0,-0.001498117409980404
2294,2011-02-14,1497.89,1513.29,1494.13,1505.33,1505.33,120741600.0,-0.0006439620261567969
2295,2011-02-11,1506.91,1507.66,1490.44,1494.52,1494.52,194490800.0,-0.007181149648249896
2296,2011-02-10,1524.39,1527.39,1503.99,1503.99,1503.99,236958400.0,0.006336482616492223
2297,2011-02-09,1541.63,1541.98,1533.38,1536.07,1536.07,175799600.0,0.021329929055379226
2298,2011-02-08,1542.34,1544.35,1538.76,1539.55,1539.55,170226800.0,0.002265521753565869
2299,2011-02-07,1539.24,1541.43,1533.75,1535.6,1535.6,155642400.0,-0.00256568477801955
2300,2011-02-02,1524.74,1536.27,1524.74,1531.82,1531.82,122139600.0,-0.0024615785360770914
2301,2011-01-31,1507.67,1520.63,1505.85,1519.94,1519.94,162351000.0,-0.007755480408925264
2302,2011-01-28,1528.73,1529.84,1518.48,1521.89,1521.89,143671200.0,0.0012829453794229728
2303,2011-01-27,1526.48,1530.81,1525.74,1526.96,1526.96,160904000.0,0.0033313840027859865
2304,2011-01-26,1525.43,1525.75,1505.36,1520.0,1520.0,217587600.0,-0.004558076177503034
2305,2011-01-25,1542.71,1544.85,1526.43,1526.43,1526.43,179689600.0,0.004230263157894765
2306,2011-01-24,1550.36,1550.95,1539.48,1542.97,1542.97,156338800.0,0.010835740911800729
2307,2011-01-21,1559.62,1559.62,1546.98,1547.43,1547.43,251428600.0,0.0028905293038750113
2308,2011-01-19,1568.85,1568.88,1561.87,1566.51,1566.51,138848000.0,0.012330121556386908
2309,2011-01-18,1575.92,1576.42,1567.91,1570.04,1570.04,108978000.0,0.002253416831044852
2310,2011-01-17,1573.47,1574.49,1570.63,1574.49,1574.49,122443400.0,0.0028343226924154585
2311,2011-01-14,1572.29,1572.95,1566.03,1569.89,1569.89,139922000.0,-0.002921580956373071
2312,2011-01-13,1570.74,1573.36,1567.61,1571.56,1571.56,136280200.0,0.001063768799087761
2313,2011-01-12,1564.36,1569.08,1562.73,1566.49,1566.49,137882800.0,-0.0032260938176079668
2314,2011-01-11,1559.27,1565.33,1558.64,1562.94,1562.94,167234800.0,-0.0022662129984870605
2315,2011-01-10,1574.64,1576.37,1561.55,1563.52,1563.52,200124400.0,0.00037109549950731235
2316,2011-01-07,1573.48,1573.63,1564.29,1572.21,1572.21,265674400.0,0.005557971756037672
2317,2011-01-06,1570.53,1576.95,1562.75,1568.37,1568.37,213407400.0,-0.0024424218138798803
